game_id,date,home_team,away_team,actual_h1,predicted_h1,error,abs_error,actual_fg,h1_fg_ratio
401170584,2019-11-19,Colorado Buffaloes,UC Irvine Anteaters,70,65.0,-5.0,5.0,122,0.5737704918032787
401166079,2019-11-20,Maryland Terrapins,Fairfield Stags,68,58.9,-9.100000000000001,9.100000000000001,129,0.5271317829457365
401170587,2019-11-20,Washington Huskies,Maine Black Bears,54,60.6,6.600000000000001,6.600000000000001,125,0.432
401168198,2019-11-20,Florida State Seminoles,Chattanooga Mocs,70,66.6,-3.4000000000000057,3.4000000000000057,142,0.49295774647887325
401172375,2019-11-21,Old Dominion Monarchs,James Madison Dukes,69,64.0,-5.0,5.0,158,0.43670886075949367
401172089,2019-11-21,Saint Peter's Peacocks,Wagner Seahawks,60,63.2,3.200000000000003,3.200000000000003,158,0.379746835443038
401172082,2019-11-21,Yale Bulldogs,Siena Saints,64,67.3,3.299999999999997,3.299999999999997,189,0.3386243386243386
401171776,2019-11-21,Drexel Dragons,Bryant Bulldogs,70,65.5,-4.5,4.5,160,0.4375
401170370,2019-11-21,NJIT Highlanders,Binghamton Bearcats,78,67.2,-10.799999999999997,10.799999999999997,152,0.5131578947368421
401170136,2019-11-21,Massachusetts Minutemen,Rider Broncs,79,65.6,-13.400000000000006,13.400000000000006,154,0.512987012987013
401169845,2019-11-21,Tennessee Volunteers,Alabama State Hornets,57,68.4,11.400000000000006,11.400000000000006,117,0.48717948717948717
401168459,2019-11-21,St. John's Red Storm,Columbia Lions,76,65.1,-10.900000000000006,10.900000000000006,145,0.5241379310344828
401168203,2019-11-21,Virginia Tech Hokies,Delaware State Hornets,72,58.0,-14.0,14.0,164,0.43902439024390244
