========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2024 (2023-11-01 to 2024-04-30)
 March Madness window: 2024-03-15 to 2024-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o4
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2023-11-01...
  [API] Requests remaining: 23357593
  Found 2 events
    Iona Gaels @ Charleston Cougars (bovada): spread=-7.5, total=156.5, h1_spread=-4.0, h1_total=74.0
    Iona Gaels @ Charleston Cougars (fanduel): spread=-7.5, total=155.5, h1_spread=-3.5, h1_total=73.5
    Iona Gaels @ Charleston Cougars (superbook): spread=-7.0, total=156.5, h1_spread=None, h1_total=None
    Iona Gaels @ Charleston Cougars (betmgm): spread=-7.5, total=156.5, h1_spread=-3.5, h1_total=73.5
    Maine Black Bears @ Charlotte 49ers (draftkings): spread=-7.0, total=135.5, h1_spread=-3.5, h1_total=63.5
    Maine Black Bears @ Charlotte 49ers (pointsbetus): spread=-7.5, total=137.0, h1_spread=None, h1_total=None
    Maine Black Bears @ Charlotte 49ers (barstool): spread=-7.5, total=135.5, h1_spread=-3.5, h1_total=None
    Maine Black Bears @ Charlotte 49ers (twinspires): spread=-7.0, total=136.0, h1_spread=None, h1_total=None
    Maine Black Bears @ Charlotte 49ers (unibet_us): spread=-7.0, total=136.0, h1_spread=-4.5, h1_total=None
    Maine Black Bears @ Charlotte 49ers (betrivers): spread=-7.0, total=136.0, h1_spread=-4.5, h1_total=None
    Maine Black Bears @ Charlotte 49ers (fanduel): spread=-7.5, total=136.5, h1_spread=-3.5, h1_total=63.5
    Maine Black Bears @ Charlotte 49ers (lowvig): spread=-7.0, total=136.5, h1_spread=None, h1_total=None
    Maine Black Bears @ Charlotte 49ers (bovada): spread=-8.0, total=136.5, h1_spread=-4.0, h1_total=63.5
    Maine Black Bears @ Charlotte 49ers (williamhill_us): spread=-7.0, total=136.5, h1_spread=-3.5, h1_total=63.5
    Maine Black Bears @ Charlotte 49ers (superbook): spread=-7.0, total=137.0, h1_spread=None, h1_total=None
    Maine Black Bears @ Charlotte 49ers (betmgm): spread=-7.5, total=136.5, h1_spread=None, h1_total=None
    Winthrop Eagles @ Clemson Tigers (draftkings): spread=-14.5, total=146.0, h1_spread=-9.0, h1_total=70.0
    Winthrop Eagles @ Clemson Tigers (pointsbetus): spread=-14.5, total=146.0, h1_spread=None, h1_total=None
    Winthrop Eagles @ Clemson Tigers (barstool): spread=-14.5, total=146.5, h1_spread=-8.5, h1_total=None
    Winthrop Eagles @ Clemson Tigers (twinspires): spread=-14.5, total=146.0, h1_spread=None, h1_total=None
    Winthrop Eagles @ Clemson Tigers (unibet_us): spread=-14.5, total=146.0, h1_spread=-9.0, h1_total=None
    Winthrop Eagles @ Clemson Tigers (betrivers): spread=-14.5, total=146.0, h1_spread=-9.0, h1_total=None
    Winthrop Eagles @ Clemson Tigers (lowvig): spread=-15.0, total=147.0, h1_spread=None, h1_total=None
    Winthrop Eagles @ Clemson Tigers (bovada): spread=-15.0, total=146.5, h1_spread=-9.0, h1_total=69.5
    Winthrop Eagles @ Clemson Tigers (williamhill_us): spread=-14.5, total=146.0, h1_spread=-9.0, h1_total=69.5
    Winthrop Eagles @ Clemson Tigers (superbook): spread=-14.5, total=146.0, h1_spread=None, h1_total=None
    Winthrop Eagles @ Clemson Tigers (betmgm): spread=-14.5, total=146.5, h1_spread=None, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (draftkings): spread=-10.0, total=140.5, h1_spread=-5.5, h1_total=66.5
    Cleveland St Vikings @ Duquesne Dukes (lowvig): spread=-10.0, total=141.5, h1_spread=None, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (pointsbetus): spread=-10.0, total=141.5, h1_spread=None, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (williamhill_us): spread=-10.0, total=141.0, h1_spread=-5.5, h1_total=66.5
    Cleveland St Vikings @ Duquesne Dukes (betonlineag): spread=-10.0, total=141.5, h1_spread=-5.5, h1_total=67.0
    Cleveland St Vikings @ Duquesne Dukes (barstool): spread=-10.5, total=140.5, h1_spread=-5.5, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (betrivers): spread=-10.0, total=141.0, h1_spread=-5.0, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (unibet_us): spread=-10.0, total=141.0, h1_spread=-5.0, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (twinspires): spread=-10.0, total=141.0, h1_spread=None, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (bovada): spread=-10.0, total=142.0, h1_spread=-5.5, h1_total=67.0
    Cleveland St Vikings @ Duquesne Dukes (fanduel): spread=-10.5, total=140.5, h1_spread=-5.5, h1_total=65.5
    Cleveland St Vikings @ Duquesne Dukes (betus): spread=-10.0, total=141.5, h1_spread=-5.5, h1_total=67.0
    Cleveland St Vikings @ Duquesne Dukes (superbook): spread=-10.0, total=141.0, h1_spread=None, h1_total=None
    Cleveland St Vikings @ Duquesne Dukes (betmgm): spread=-10.5, total=141.5, h1_spread=-5.5, h1_total=66.5
    Columbia Lions @ Providence Friars (draftkings): spread=-18.5, total=144.5, h1_spread=-11.0, h1_total=68.0
    Columbia Lions @ Providence Friars (lowvig): spread=-19.0, total=143.0, h1_spread=None, h1_total=None
    Columbia Lions @ Providence Friars (pointsbetus): spread=-19.0, total=143.5, h1_spread=None, h1_total=None
    Columbia Lions @ Providence Friars (williamhill_us): spread=-18.0, total=143.0, h1_spread=-11.0, h1_total=68.0
    Columbia Lions @ Providence Friars (betonlineag): spread=-19.0, total=143.0, h1_spread=-11.0, h1_total=68.5
    Columbia Lions @ Providence Friars (barstool): spread=-18.5, total=144.5, h1_spread=-10.5, h1_total=None
    Columbia Lions @ Providence Friars (twinspires): spread=-18.5, total=144.0, h1_spread=None, h1_total=None
    Columbia Lions @ Providence Friars (unibet_us): spread=-18.5, total=144.0, h1_spread=-11.0, h1_total=None
    Columbia Lions @ Providence Friars (betrivers): spread=-18.5, total=144.0, h1_spread=-11.0, h1_total=None
    Columbia Lions @ Providence Friars (bovada): spread=-18.5, total=143.5, h1_spread=-12.0, h1_total=69.0
    Columbia Lions @ Providence Friars (fanduel): spread=-18.5, total=144.5, h1_spread=-11.5, h1_total=67.5
    Columbia Lions @ Providence Friars (betus): spread=-19.0, total=143.5, h1_spread=-11.0, h1_total=68.5
    Columbia Lions @ Providence Friars (superbook): spread=-19.0, total=144.0, h1_spread=None, h1_total=None
    Columbia Lions @ Providence Friars (betmgm): spread=-18.5, total=144.5, h1_spread=-11.5, h1_total=68.5
    SIU-Edwardsville Cougars @ Dayton Flyers (draftkings): spread=-17.0, total=134.0, h1_spread=-10.0, h1_total=63.5
    SIU-Edwardsville Cougars @ Dayton Flyers (lowvig): spread=-17.5, total=134.5, h1_spread=None, h1_total=None
    SIU-Edwardsville Cougars @ Dayton Flyers (pointsbetus): spread=-17.5, total=135.0, h1_spread=None, h1_total=None
    SIU-Edwardsville Cougars @ Dayton Flyers (williamhill_us): spread=-17.0, total=134.5, h1_spread=-10.0, h1_total=63.5
    SIU-Edwardsville Cougars @ Dayton Flyers (betonlineag): spread=-17.5, total=134.5, h1_spread=-10.5, h1_total=64.0
    SIU-Edwardsville Cougars @ Dayton Flyers (barstool): spread=-17.5, total=134.5, h1_spread=None, h1_total=None
    SIU-Edwardsville Cougars @ Dayton Flyers (betrivers): spread=-17.5, total=134.5, h1_spread=-10.5, h1_total=None
    SIU-Edwardsville Cougars @ Dayton Flyers (unibet_us): spread=-17.5, total=134.5, h1_spread=-10.5, h1_total=None
    SIU-Edwardsville Cougars @ Dayton Flyers (twinspires): spread=-17.5, total=134.5, h1_spread=None, h1_total=None
    SIU-Edwardsville Cougars @ Dayton Flyers (bovada): spread=-17.5, total=135.0, h1_spread=-10.5, h1_total=64.0
    SIU-Edwardsville Cougars @ Dayton Flyers (fanduel): spread=-17.5, total=134.5, h1_spread=-9.5, h1_total=63.5
